,Imp,Perf
2202,расплачиваться,расплатиться
2203,распознавать,распознать
2204,располагать,расположить
2205,располагаться,расположиться
2206,распоряжаться,распорядиться
2207,расправлять,расправить
2208,расправляться,расправиться
2209,распределять,распределить
2210,распределяться,распределиться
2211,распродавать,распродать
2212,распространять,распространить
2213,распространяться,распространиться
2214,распугивать,распугать
2215,распускать,распустить
2216,распускаться,распуститься
2217,распутывать,распутать
2218,распылять,распылить
2219,рассаживать,рассадить
2220,рассаживаться,рассесться
2221,рассасываться,рассосаться
2222,рассеивать,рассеять
2223,рассеиваться,рассеяться
2224,рассекать,рассечь
2225,рассекречивать,рассекретить
2226,расселять,расселить
2227,расселяться,расселиться
2228,рассказывать,рассказать
2229,расслаблять,расслабить
2230,расслабляться,расслабиться
2231,рассматривать,рассмотреть
2232,расспрашивать,расспросить
2233,расставаться,расстаться
2234,расставлять,расставить
2235,расстилать,расстелить
2236,расстраивать,расстроить
2237,расстраиваться,расстроиться
2238,расстреливать,расстрелять
2239,расступаться,расступиться
2240,рассчитывать,рассчитать
2241,рассчитываться,рассчитаться
2242,рассылать,разослать
2243,рассыпать,рассыпать
2244,рассыпаться,рассыпаться
2245,растапливать,растопить
2246,растаскивать,растащить
2247,растворять,растворить
2248,растворяться,раствориться
2249,расторгать,расторгнуть
2250,растрачивать,растратить
2251,растрескиваться,растрескаться
2252,растягивать,растянуть
2253,растягиваться,растянуться
2254,расфасовывать,расфасовать
2255,расформировывать,расформировать
2256,расформировываться,расформироваться
2257,расхваливать,расхвалить
2258,расхищать,расхитить
2259,расходиться,разойтись
2260,расцветать,расцвести
2261,расценивать,расценить
2262,расчищать,расчистить
2263,расчленять,расчленить
2264,расшатывать,расшатать
2265,расширять,расширить
2266,расширяться,расшириться
2267,расшифровывать,расшифровать
2268,расщеплять,расщепить
2269,реализовывать,реализовать
2270,реализовываться,реализоваться
2271,реорганизовывать,реорганизовать
2272,реорганизовываться,реорганизоваться
2273,решать,решить
2274,решаться,решиться
2275,рожать,родить
2276,рождать,родить
2277,рождаться,родиться
2278,рукополагать,рукоположить
2279,садиться,сесть
2280,сбавлять,сбавить
2281,сбегать,сбежать
2282,сбегаться,сбежаться
2283,сберегать,сберечь
2284,сбивать,сбить
2285,сбиваться,сбиться
2286,сближать,сблизить
2287,сближаться,сблизиться
2288,сбрасывать,сбросить
2289,сбрасываться,сброситься
2290,сбривать,сбрить
2291,сбывать,сбыть
2292,сбываться,сбыться
2293,сваливать,свалить
2294,сваливаться,свалиться
2295,сваривать,сварить
2296,свариваться,свариться
2297,свергать,свергнуть
2298,свертывать,свернуть
2299,свертываться,свернуться
2300,свершаться,свершиться
2301,сверять,сверить
2302,сверяться,свериться
2303,свешиваться,свеситься
2304,сводить,свести
2305,сводиться,свестись
2306,свозить,свезти
2307,сворачивать,свернуть
2308,сворачиваться,свернуться
2309,связывать,связать
2310,связываться,связаться
2311,сгибать,согнуть
2312,сгибаться,согнуться
2313,сглаживать,сгладить
2314,сглаживаться,сгладиться
2315,сговариваться,сговориться
2316,сгонять,согнать
2317,сгорать,сгореть
2318,сгущать,сгустить
2319,сгущаться,сгуститься
2320,сдабривать,сдобрить
2321,сдавать,сдать
2322,сдаваться,сдаться
2323,сдавливать,сдавить
2324,сдвигать,сдвинуть
2325,сдвигаться,сдвинуться
2326,сдерживать,сдержать
2327,сдерживаться,сдержаться
2328,сдирать,содрать
2329,сдувать,сдуть
2330,сжигать,сжечь
2331,сжимать,сжать
2332,сжиматься,сжаться
2333,сказываться,сказаться
2334,скапливаться,скопиться
2335,скармливать,скормить
2336,скатывать,скатать
2337,скатываться,скатиться
2338,скачивать,скачать
2339,скашивать,скосить
2340,скидывать,скинуть
2341,скидываться,скинуться
2342,складывать,сложить
2343,складываться,сложиться
2344,склеивать,склеить
2345,склонять,склонить
2346,склоняться,склониться
2347,сковывать,сковать
2348,сколачивать,сколотить
2349,скрашивать,скрасить
2350,скреплять,скрепить
2351,скрещивать,скрестить
2352,скручивать,скрутить
2353,скрывать,скрыть
2354,скрываться,скрыться
2355,скупать,скупить
2356,слагать,сложить
2357,слезать,слезть
2358,слетать,слететь
2359,сливать,слить
2360,сливаться,слиться
2361,случаться,случиться
2362,смазывать,смазать
2363,смахивать,смахнуть
2364,смачивать,смочить
2365,сменять,сменить
2366,сменяться,смениться
2367,сметать,смести
2368,смешивать,смесить
2369,смешивать,смешать
2370,смешиваться,смеситься
2371,смешиваться,смешаться
2372,смещать,сместить
2373,смещаться,сместиться
2374,сминать,смять
2375,смиряться,смириться
2376,смолкать,смолкнуть
2377,смущать,смутить
2378,смущаться,смутиться
2379,смывать,смыть
2380,смыкать,сомкнуть
2381,смыкаться,сомкнуться
2382,смягчать,смягчить
2383,смягчаться,смягчиться
2384,снабжать,снабдить
2385,снаряжать,снарядить
2386,снижать,снизить
2387,снижаться,снизиться
2388,снимать,снять
2389,сниматься,сняться
2390,снисходить,снизойти
2391,сносить,снести
2392,собирать,собрать
2393,собираться,собраться
2394,соблазнять,соблазнить
2395,соблюдать,соблюсти
2396,совершать,совершить
2397,совершаться,совершиться
2398,совмещать,совместить
2399,совпадать,совпасть
2400,совращать,совратить
2401,согласовывать,согласовать
2402,соглашаться,согласиться
2403,согревать,согреть
2404,согреваться,согреться
2405,содрогаться,содрогнуться
2406,соединять,соединить
2407,соединяться,соединиться
2408,созваниваться,созвониться
2409,создавать,создать
2410,создаваться,создаться
2411,сознавать,сознать
2412,сознаваться,сознаться
2413,созревать,созреть
2414,созывать,созвать
2415,сокращать,сократить
2416,сокращаться,сократиться
2417,сокрушать,сокрушить
2418,соображать,сообразить
2419,сообщать,сообщить
2420,сообщаться,сообщиться
2421,сооружать,соорудить
2422,соотносить,соотнести
2423,сопоставлять,сопоставить
2424,соприкасаться,соприкоснуться
2425,сопровождать,сопроводить
2426,сопрягать,сопрячь
2427,соскальзывать,соскользнуть
2428,сосредотачивать,сосредоточить
2429,сосредотачиваться,сосредоточиться
2430,сосредоточивать,сосредоточить
2431,сосредоточиваться,сосредоточиться
2432,составлять,составить
2433,составляться,составиться
2434,сотрясать,сотрясти
2435,сохранять,сохранить
2436,сохраняться,сохраниться
2437,сочинять,сочинить
2438,спадать,спасть
2439,спаивать,спаять
2440,спариваться,спариться
2441,спасать,спасти
2442,спасаться,спастись
2443,спешиваться,спешиться
2444,спиваться,спиться
2445,спиливать,спилить
2446,списывать,списать
2447,списываться,списаться
2448,сплавлять,сплавить
2449,сплавляться,сплавиться
2450,сплачивать,сплотить
2451,сплачиваться,сплотиться
2452,сплетать,сплести
2453,сплетаться,сплестись
2454,сползать,сползти
2455,спотыкаться,споткнуться
2456,справлять,справить
2457,справляться,справиться
2458,спрашивать,спросить
2459,спрыгивать,спрыгнуть
2460,спрямлять,спрямить
2461,спускать,спустить
2462,спускаться,спуститься
2463,срабатывать,сработать
2464,сравнивать,сравнить
2465,сравнивать,сравнять
2466,сравнивать,сровнять
2467,сравниваться,сравняться
2468,сражать,сразить
2469,сражаться,сразиться
2470,срезать,срезать
2471,срезаться,срезаться
2472,срубать,срубить
2473,срывать,сорвать
2474,срывать,срыть
2475,срываться,сорваться
2476,ссужать,ссудить
2477,ссылать,сослать
2478,ссылаться,сослаться
2479,ссыпать,ссыпать
2480,сталкивать,столкнуть
2481,сталкиваться,столкнуться
2482,становиться,стать
2483,стаскивать,стащить
2484,стеснять,стеснить
2485,стирать,стереть
2486,стираться,стереться
2487,стихать,стихнуть
2488,стравливать,стравить
2489,стряхивать,стряхнуть
2490,ступать,ступить
2491,стягивать,стянуть
2492,стягиваться,стянуться
2493,сужать,сузить
2494,сужаться,сузиться
2495,суживаться,сузиться
2496,схватывать,схватить
2497,сходить,сойти
2498,сходиться,сойтись
2499,сцеплять,сцепить
2500,сцепляться,сцепиться
2501,считать,счесть
2502,считывать,считать
2503,счищать,счистить
2504,сшивать,сшить
2505,съедать,съесть
2506,съезжать,съехать
2507,съезжаться,съехаться
2508,трудоустраивать,трудоустроить
2509,убавлять,убавить
2510,убегать,убежать
2511,убеждать,убедить
2512,убеждаться,убедиться
2513,уберегать,уберечь
2514,убивать,убить
2515,убирать,убрать
2516,убираться,убраться
2517,ублажать,ублажить
2518,убывать,убыть
2519,уведомлять,уведомить
2520,увековечивать,увековечить
2521,увеличивать,увеличить
2522,увеличиваться,увеличиться
2523,увенчивать,увенчать
2524,увенчиваться,увенчаться
2525,уверять,уверить
2526,увлажнять,увлажнить
2527,увлекать,увлечь
2528,увлекаться,увлечься
2529,уводить,увести
2530,увозить,увезти
2531,увольнять,уволить
2532,увольняться,уволиться
2533,увязать,увязнуть
2534,увязывать,увязать
2535,увязываться,увязаться
2536,угадывать,угадать
2537,угасать,угаснуть
2538,углублять,углубить
2539,углубляться,углубиться
2540,уговаривать,уговорить
2541,угождать,угодить
2542,угонять,угнать
2543,угощать,угостить
2544,угощаться,угоститься
2545,удаваться,удаться
2546,удалять,удалить
2547,удаляться,удалиться
2548,ударять,ударить
2549,ударяться,удариться
2550,удваивать,удвоить
2551,удваиваться,удвоиться
2552,уделять,уделить
2553,удерживать,удержать
2554,удерживаться,удержаться
2555,удешевлять,удешевить
2556,удивлять,удивить
2557,удивляться,удивиться
2558,удирать,удрать
2559,удлинять,удлинить
2560,удлиняться,удлиниться
2561,удобрять,удобрить
2562,удовлетворять,удовлетворить
2563,удовлетворяться,удовлетвориться
2564,удостаивать,удостоить
2565,удостаиваться,удостоиться
2566,удостоверять,удостоверить
2567,удочерять,удочерить
2568,удушать,удушить
2569,уединяться,уединиться
2570,уезжать,уехать
2571,ужасать,ужаснуть
2572,ужасаться,ужаснуться
2573,ужесточать,ужесточить
2574,ужесточаться,ужесточиться
2575,уживаться,ужиться
2576,узаконивать,узаконить
2577,узнавать,узнать
2578,указывать,указать
2579,укладывать,уложить
2580,укладываться,улечься
2581,укладываться,уложиться
2582,уклоняться,уклониться
2583,укомплектовывать,укомплектовать
2584,укорачивать,укоротить
2585,укорачиваться,укоротиться
2586,укореняться,укорениться
2587,укорять,укорить
2588,украшать,украсить
2589,украшаться,украситься
2590,укреплять,укрепить
2591,укрепляться,укрепиться
2592,укрощать,укротить
2593,укрупнять,укрупнить
2594,укрывать,укрыть
2595,укрываться,укрыться
2596,улавливать,уловить
2597,улаживать,уладить
2598,улетать,улететь
2599,улетучиваться,улетучиться
2600,уличать,уличить
2601,улучшать,улучшить
2602,улучшаться,улучшиться
2603,улыбаться,улыбнуться
2604,умалчивать,умолчать
2605,умалять,умалить
2606,уменьшать,уменьшить
2607,уменьшаться,уменьшиться
2608,умерщвлять,умертвить
2609,умещаться,уместиться
2610,умирать,умереть
2611,умиротворять,умиротворить
2612,умножать,умножить
2613,умножаться,умножиться
2614,умолкать,умолкнуть
2615,умудряться,умудриться
2616,умывать,умыть
2617,умываться,умыться
2618,унижать,унизить
2619,уничтожать,уничтожить
2620,уносить,унести
2621,упаковывать,упаковать
2622,упирать,упереть
2623,упираться,упереться
2624,уплачивать,уплатить
2625,уплотнять,уплотнить
2626,уплывать,уплыть
2627,уподоблять,уподобить
2628,уподобляться,уподобиться
2629,уползать,уползти
2630,уполномочивать,уполномочить
2631,упоминать,упомянуть
2632,упорядочивать,упорядочить
2633,употреблять,употребить
2634,управляться,управиться
2635,упразднять,упразднить
2636,упрашивать,упросить
2637,упреждать,упредить
2638,упрекать,упрекнуть
2639,упрочнять,упрочнить
2640,упрощать,упростить
2641,упрощаться,упроститься
2642,упускать,упустить
2643,уравнивать,уравнять
2644,уравниваться,уравняться
2645,уравновешивать,уравновесить
2646,урезать,урезать
2647,усаживать,усадить
2648,усаживаться,усесться
2649,усваивать,усвоить
2650,усиливать,усилить
2651,усиливаться,усилиться
2652,ускользать,ускользнуть
2653,ускорять,ускорить
2654,ускоряться,ускориться
2655,усложнять,усложнить
2656,усложняться,усложниться
2657,усматривать,усмотреть
2658,усмехаться,усмехнуться
2659,усмирять,усмирить
2660,успевать,успеть
2661,успокаивать,успокоить
2662,успокаиваться,успокоиться
2663,усреднять,усреднить
2664,уставать,устать
2665,устанавливать,установить
2666,устанавливаться,установиться
2667,устаревать,устареть
2668,устилать,устлать
2669,устраивать,устроить
2670,устраиваться,устроиться
2671,устранять,устранить
2672,устраняться,устраниться
2673,устрашать,устрашить
2674,устремлять,устремить
2675,устремляться,устремиться
2676,уступать,уступить
2677,усугублять,усугубить
2678,усугубляться,усугубиться
2679,усыновлять,усыновить
2680,усыпать,усыпать
2681,усыплять,усыпить
2682,усыхать,усохнуть
2683,утаивать,утаить
2684,утаскивать,утащить
2685,утверждать,утвердить
2686,утверждаться,утвердиться
2687,утекать,утечь
2688,утеплять,утеплить
2689,утешать,утешить
2690,утешаться,утешиться
2691,утихать,утихнуть
2692,утолять,утолить
2693,утомлять,утомить
2694,утомляться,утомиться
2695,утопать,утонуть
2696,уточнять,уточнить
2697,утрамбовывать,утрамбовать
2698,утрачивать,утратить
2699,утрачиваться,утратиться
2700,утыкать,утыкать
2701,утягивать,утянуть
2702,утяжелять,утяжелить
2703,ухитряться,ухитриться
2704,уходить,уйти
2705,ухудшать,ухудшить
2706,ухудшаться,ухудшиться
2707,учащаться,участиться
2708,учинять,учинить
2709,учитывать,учесть
2710,учреждать,учредить
2711,ущемлять,ущемить
2712,хватать,хватить
2713,хвататься,хватиться
2714,являть,явить
2715,являться,явиться
